Product Catgory,Product tag,design house
紙張材料 (3),"
                        ,3d_puzzle, (1),3dpuzzle, (3),gift, (2),party, (2),puzzle, (3),創意, (3),懷舊, (3),拼圖, (3),擺設, (1),派對, (2),生日派對, (3),生日禮物, (3),益智, (3),禮品, (2),禮物, (3),立體拼圖, (1),聖誕禮物, (3),集體回憶, (1),
                    ",lrrc88
"其他 (2),咖啡杯/馬克杯 (6),家飾/擺飾 (7),茶具/茶杯 (1),淺碟/盤子/餐盤 (2)","
                        ,design, (18),創意, (18),可愛, (12),家飾, (13),擺飾, (12),杯, (2),珠寶盤, (3),生活, (12),皇冠, (4),盤, (3),禮品, (14),禮物, (16),聖誕, (2),設計, (16),酒, (2),酒塞, (2),金色, (7),飾品, (5),
                    ",ecosquare
"零錢包 (9),髮飾 (9),鑰匙圈/鑰匙包 (49),票夾/隨身夾 (23),其他 (1),啟發玩具 (9),彌月收涎 (9),隨行杯提袋/護套 (2),收納用品 (3),客製娃娃 (5),其他 (1),包裝材料 (2)","
                        ,babygifts, (21),crochet, (118),handmade, (119),moose, (6),toy, (34),zoo, (107),動物園, (107),可客製, (110),吊飾, (27),婚禮, (4),婚禮小物, (21),對偶, (5),彌月禮盒, (21),情人節, (6),手搖鈴, (18),擺飾, (10),玩具, (36),生活小物, (58),聖誕禮物, (23),聖誕節, (19),農曆新年, (1),針織, (119),鑰匙圈, (25),零錢包, (9),
                    ",funmay
"卡片/明信片 (8),畫作 (8)","
                        ,design, (15),handmade, (8),創意, (13),可愛, (16),手作, (8),設計, (15),
                    ",honokana-akari
"甜點 (10),甜派 (6),鹹派 (2)","
                        ,handmade, (18),乳酪派, (4),伴手禮, (2),松子, (1),法式甜派, (2),法式甜點, (16),紅酒無花果, (1),草莓, (1),藍莓, (3),蘋果, (3),閃電泡芙, (10),鮭魚, (2),鹹派, (2),
                    ",pontneuf
"襪子 (16),圍巾/絲巾 (26),帽子 (8),手套 (6),吊飾 (6),Android 週邊 (1)","
                        ,htc, (6),ipad, (6),iphone, (6),xxx, (1),zigzag, (2),中性, (11),中華民國, (7),仿兔毛, (2),元旦, (8),兔毛, (1),升旗, (7),卷線器, (7),反針, (2),台灣, (8),圈圈紗, (1),國旗國巾, (8),圍巾, (24),圍衣, (1),小花, (1),少女, (23),少女圍巾, (3),帽子, (9),彩線, (1),彩虹, (1),惡靈戰警, (1),扁帽, (1),手勾, (3),手勾花, (1),手機座, (7),手機架, (7),披肩, (2),掛勾, (7),搖滾, (2),條紋, (5),橄欖綠, (1),橫條, (1),止滑, (16),水波, (1),波斯風, (1),浮雕, (1),漣漪, (1),火焰, (2),玉米花, (1),盲縫, (1),直線, (2),短襪, (16),穗, (1),糖果, (1),紅色, (2),網狀, (2),羅紋, (1),羊毛, (6),聖誕節, (2),船型襪, (16),草綠, (1),藍色, (1),街頭, (1),西哈, (1),觸控手套, (6),超跑, (1),跨年, (7),軍綠, (1),針織, (12),銀蔥絲, (1),鑰匙圈, (7),長刷毛, (1),長毛, (1),限制級戰警, (1),隱形襪, (16),電容式, (6),飛龍, (1),骷髏頭, (1),黑色, (1),龍, (1),
                    ",ztids
"咖啡杯/馬克杯 (6),茶具/茶杯 (2),淺碟/盤子/餐盤 (2),碗 (4),其他 (1)","
                        ,創意, (15),手作, (15),杯子, (4),禮物, (15),線條, (4),設計, (15),點點, (3),
                    ",mystudio22
"項鍊/墜子 (33),戒指 (15),耳環 (2),手鍊/手環 (13),胸針 (3),其他 (1),卡片/明信片 (2),家飾/擺飾 (1)","
                        ,animal, (63),bear, (5),dog, (1),figurine, (59),handmade, (67),lena, (10),pinkoi香港, (46),polar, (2),sculpture, (60),sculpture創意, (10),交換禮物, (50),人型微型, (2),兔子, (6),冬季, (2),創意, (50),動物, (61),動物微型, (46),動物戒指, (10),動物手鍊, (14),動物耳環, (2),原創, (65),原野, (64),友情, (2),可愛, (53),哥基犬, (2),型格, (42),大象, (1),寵物, (7),小女孩, (2),小皇冠, (2),小精靈, (1),小象, (1),小雕像, (5),小鳥, (4),愛情, (10),愛護大自然, (3),手作, (19),手作禮物, (67),手工藝, (65),手繪, (17),明信片, (2),森林, (11),樹, (1),樹木, (1),樹枝, (2),浣熊, (1),熊, (8),狐狸, (9),狗, (2),狼, (3),猴子, (2),獅子, (2),獨一無二, (55),療癒, (52),白色, (9),紅果子, (2),綠色, (1),老虎, (1),聖誕禮物, (11),聖誕節, (3),胸針, (2),臘腸犬, (1),臭鼬鼠, (1),花草, (2),藍色, (3),豬, (1),貓咪, (6),貓頭鷹, (3),軟陶戒指, (9),軟陶手鍊, (7),軟陶耳環, (2),軟陶項鍊墜子, (17),軟陶首飾, (56),軟陶首飾限量, (1),野兔, (3),野兔子, (1),野生動物, (17),金色, (3),銀色, (1),長耳狗, (1),長頸鹿, (1),限量, (53),限量款, (12),雞, (1),魚, (1),鯉魚, (1),鱷魚, (2),鳥, (5),鴨, (1),鹿, (2),黏土, (3),黏土擺設, (1),黑白色, (2),黑色, (7),黑鳥, (2),
                    ",pearlcatcat
茶 (57),"
                        ,natural系列, (4),禮品, (4),禮物, (4),
                    ",7teahouse
"項鍊/墜子 (1),耳環 (4)","
                        ,handmade, (4),乾花, (5),創意, (4),可愛, (3),夏日, (1),天然, (4),手作, (5),棉花, (1),珍珠, (1),設計, (4),項鍊, (1),
                    ",myfancyhandmade
洋裝 (6),"
                        ,beige, (2),black, (2),blue, (3),brown, (1),design, (6),dress, (6),handmade, (6),japan, (2),linen, (6),natural系列, (6),navy-blue, (2),olive-green, (1),oversize, (5),prom, (5),purple, (2),vintage, (6),
                    ",pearvintage
"針織羊毛氈材料 (12),DIY 材料包 (5)","
                        ,handmade, (15),qmozhappylife, (3),原創系列, (10),小犬系列, (2),擬真系列, (6),方方圓圓系列, (1),羊毛氈, (16),馬卡龍系列, (3),
                    ",hanju
"家飾/擺飾 (1),筷子/環保筷 (2),淺碟/盤子/餐盤 (12),其他 (1)","
                        ,design, (16),handmade, (12),冰酒, (1),創意, (10),品酒, (1),威士忌, (1),婚禮小物, (2),情人節禮物, (8),手作, (12),手工, (12),果醋飲, (1),梅酒, (1),極簡, (6),母親節禮物, (9),清酒, (1),父親節禮物, (9),生日禮物, (8),禮品, (16),禮物, (16),筷架, (3),簡約, (14),結婚送禮, (2),設計, (16),酒杯, (1),
                    ",woo-collective
"鑰匙圈/鑰匙包 (4),筆記本/手帳 (22),筆盒/筆袋 (1),筆插/筆筒/筆套 (2),紙膠帶 (2),獨立刊物 (1),磁鐵 (1),其他 (5),咖啡杯/馬克杯 (4),牆面裝飾/壁貼 (2),茶具/茶杯 (1),其他 (8),燈具/燈飾 (2)","
                        ,baggage, (3),bank, (1),camera, (3),cassette, (1),chain, (4),child, (1),childhood, (1),coin, (1),coinbank, (1),comb, (2),cup, (3),gun, (3),key, (7),keychain, (3),keytag, (3),lamp, (2),lock, (1),magazine, (4),memo, (2),mug, (3),notebook, (21),pocket, (10),print, (4),publish, (4),ruler, (2),stationery, (2),tag, (3),tape, (2),teapot, (1),中國, (1),中國風, (1),便條紙, (2),冊, (2),刀, (1),創作, (2),可愛, (1),吊燈, (2),吊飾, (3),唱盤, (1),啄木鳥, (2),單眼, (1),壺, (1),夜燈, (2),天晴設計, (3),存錢筒, (2),專刊, (4),尺, (2),手榴彈, (2),手槍, (1),拍立得, (1),捲線器, (2),文具, (4),書, (2),書冊, (2),書刊, (2),書籍, (2),書籤, (2),木燈, (2),杯子, (3),梳子, (2),槍, (4),檯燈, (2),武器, (4),水杯, (3),燈, (2),燈具, (2),獨立刊物, (2),瓷器, (2),瓷杯, (3),相機, (3),磁鐵, (5),空白本, (1),空白筆記本, (21),童年, (1),筆套, (2),筆盒, (1),筆袋, (1),筆記本, (22),聯展, (2),膠帶, (2),茶杯, (2),行李, (3),行李吊牌, (3),行李牌, (3),記事本, (21),設計, (39),設計師, (2),造型筆盒, (1),鏡子, (1),鑰匙, (3),鑰匙圈, (7),開關, (1),陶瓷, (1),隨身筆記本, (10),集線器, (2),雜誌, (2),零錢, (1),零錢筒, (1),零錢罐, (1),飛刀, (3),馬克杯, (4),
                    ",afteraindesign
"DIY 材料包 (2),平板/電腦保護套 (12)","
                        ,alphabet, (1),az, (1),case, (10),caspia, (6),christmas, (2),clear, (10),clip, (1),cotton, (1),decor, (1),design, (14),diy, (2),english, (1),floral, (1),flower, (12),forest, (10),galaxy, (1),glass, (1),gypsee, (1),handmade, (14),iphone, (10),leaf, (12),made, (6),mori, (10),natuhandmade, (1),natural, (12),nature, (12),note, (3),order, (5),phone, (6),picture, (1),plants, (12),real, (11),resin, (12),rope, (1),samsung, (3),set, (1),silicone, (11),thailand, (11),wall, (1),wood, (2),wooden, (1),
                    ",marcstoon
"洋裝 (2),上衣 (女) (3),其他 (1)","
                        ,手作, (6),設計, (6),
                    ",aday365
"肩背包/斜背包 (60),電腦包 (1),抱枕 (16),平板/電腦保護套 (1)","
                        ,handmade, (77),可愛, (19),手作, (32),手勾針織, (4),手工繡花, (3),獨特, (63),簡約, (53),簡約復古, (9),設計, (76),
                    ",hazelnut
"肩背包/斜背包 (2),手提包 (1),零錢包 (5),彌月收涎 (2)","
                        ,側背包, (2),午休袋, (1),圍兜, (2),小鞋, (2),帽子, (2),彌月禮, (2),手套, (2),手提包, (1),散步包, (1),橘色, (1),水玉, (1),狗, (1),玫瑰, (3),粉紅, (3),肩背包, (2),雜貨風, (1),零錢包, (5),
                    ",purpleyumi
"上衣/T 恤 (男) (2),手提包 (1),晚宴包/手拿包 (2),公事包 (1),花器/花藝/植栽 (1),圍裙 (4),家具 (1),燈具/燈飾 (1)","
                        ,design, (6),handmade, (12),leather, (5),loft, (4),natural系列, (4),tote, (1),vintage, (2),vinyage, (1),仙人掌, (1),佈置, (2),優雅, (2),吊燈, (1),圍裙, (2),多肉植物, (3),客製化禮物, (1),室內裝修, (2),屌頂燈, (2),工作服, (7),工業風, (4),帆布包, (1),幾何, (1),復古, (6),復古燈, (2),愛迪生, (2),房間, (1),手作, (8),手工, (11),手工皮革, (2),手拿包, (3),手提包, (3),手沖, (1),手沖咖啡, (1),植物, (4),植物學家, (1),植物燈, (1),檯燈, (1),歐洲, (1),溫室, (2),燈罩, (2),皮革, (6),皮革燈, (2),盆栽, (3),簡約, (9),紳士, (2),耶加雪菲, (1),耶家雪菲, (2),英倫, (1),英國, (1),裝潢, (1),設計, (9),購物包, (5),購物袋, (1),限量款, (9),黃銅, (4),
                    ",temperature-official
"耳環 (1),胸針 (7),鑰匙圈/鑰匙包 (3),iPhone 週邊 (2)","
                        ,accessory, (1),animal, (1),art, (11),badge, (4),bird, (1),blue, (1),case, (2),cover, (2),cute, (4),fish, (1),flamingo, (1),handmade, (10),iphone, (2),keychain, (1),lace, (3),pop, (4),rainbow, (4),sea, (2),summer, (1),unique, (4),unique　apple, (1),unique　brooch, (1),可愛, (13),手作, (13),手工, (13),魚, (1),
                    ",orllyorlly
"T 恤 (女) (2),裙子 (1),洋裝 (5),其他 (10)","
                        ,design, (15),t-shirt, (3),原住民, (5),寵物親子裝, (17),寵物領巾, (11),復古, (4),洋裝, (7),禮物, (15),簡約, (17),設計, (14),
                    ",easandpets
"肩背包/斜背包 (13),手提包 (1),晚宴包/手拿包 (1),後背包 (25),公事包 (2)","
                        ,14吋, (15),clutch, (3),leather, (22),個性, (25),創意, (20),功能型, (20),多口袋, (9),小包, (6),尼龍, (18),後背包, (23),復古, (7),戶外, (17),手拿, (7),撞色, (4),方形, (15),旅行, (16),束口, (2),校園, (18),洗水布, (1),畢業, (2),登山, (8),皮革, (16),磨沙, (6),禮物, (13),突出, (8),立方, (11),簡單, (17),簡約, (37),腰包, (3),蘑菇, (1),螢光, (3),輕便, (28),防水, (31),電腦袋, (27),韓國, (10),鮮艷, (4),
                    ",dudehk
"圍兜/領巾/配件 (3),彌月收涎 (1)","
                        ,natural系列, (2),口水, (1),可愛, (3),復古, (1),手作, (3),涎, (1),滿月, (1),禮物, (3),
                    ",linpinggo
耳環 (139),"
                        ,不鏽鋼, (106),古銅, (10),咖啡, (6),土耳其, (1),土耳其石, (1),塑膠, (67),少量, (104),巧克力, (3),復古, (118),手工, (101),抗過敏, (50),母親節, (5),水鑽, (5),灰, (7),烤漆, (4),珍珠, (5),琺瑯, (6),白, (22),禮品, (14),簡約, (20),粉紅, (1),紅, (1),綠, (2),耳夾, (28),耳環, (108),耳針, (102),耳鉤, (30),藍, (6),都會, (21),金, (64),鉚釘, (1),銀, (9),銀色, (1),鑽, (5),限量, (32),黃, (1),黑, (31),黑金, (3),
                    ",circledot
"其他 (1),胸針 (1),筆記本/手帳 (4),卡片/明信片 (25),貼紙 (1),獨立刊物 (1),其他 (2)","
                        ,創意, (35),可愛, (35),手工, (35),
                    ",tietao
"肩背包/斜背包 (3),項鍊/墜子 (1),戒指 (3),耳環 (2),手鍊/手環 (2),家飾/擺飾 (1),陶器/陶飾 (2),貓咪玩具 (2),寵物床墊 (1),燈具/燈飾 (4)","
                        ,24k, (4),design, (21),lego, (1),下雨, (3),創意, (17),創意燈, (4),家居, (2),寵物, (5),情人, (1),情人節, (7),戒子, (3),手錬, (2),托特包, (3),火車, (3),熊貓, (2),燈, (3),燈小狗, (1),禮品, (11),禮物, (12),積木, (1),紙巾, (3),紙巾架, (3),美國, (2),肩背包, (3),荷蘭, (3),設計, (21),貓, (3),金, (4),限量款, (11),雲, (3),電器, (2),項鍊, (1),香港, (17),香港耳環, (2),
                    ",studiomango
卡片/明信片 (14),"
                        ,design, (13),創意, (13),禮品, (13),設計, (13),
                    ",la-las
"筆記本/手帳 (1),卡片/明信片 (14),貼紙 (13)","
                        ,動物, (1),可愛, (3),失戀, (1),女孩, (1),好友, (3),姊妹, (1),情人節, (2),戀人絮語, (1),手作, (1),日常, (1),明信片, (10),療癒, (1),禮物, (3),筆記本, (1),聖誕節, (1),行事曆, (1),設計, (5),貼紙, (13),
                    ",livetips
"上衣/T 恤 (男) (5),背心 (男) (2),襯衫 (男) (6),褲子/下身 (男) (3),手提包 (1),領結 (1)","
                        ,indigo, (6),丹寧, (1),休閒, (10),和風簡約舒適, (1),復古, (8),打摺, (2),異材質剪接, (5),簡約, (12),緹花, (1),羊毛, (1),輕薄舒適, (1),運動時尚, (1),
                    ",irman-co
"皮夾/錢包 (1),手提包 (2),零錢包 (3),晚宴包/手拿包 (16),髮飾 (3),圍巾/絲巾 (5),手套 (4),腰帶 (2),筆盒/筆袋 (3),童裝 (2),圍兜/領巾/配件 (7)","
                        ,and, (1),arm, (1),baby, (2),back, (1),bag, (7),belt, (2),blossom, (1),blue, (1),bow, (5),bowtie, (3),boys, (2),bridal, (7),case, (1),cherry, (1),christmas, (4),christmas., (1),clutch, (6),collar, (1),cotton, (5),crochet, (16),daughter, (1),day, (1),emerald, (1),fashion, (9),floral, (1),flower, (2),gift, (4),girl, (7),girls, (1),green, (1),grey, (1),handbag, (6),handmade, (45),headband, (6),kids, (5),knit, (2),knitted, (2),lace, (7),legwarmers, (1),market, (1),me, (1),mommy, (3),mother, (2),neckwarmer, (1),organic, (1),pencil, (1),photo, (4),pink, (1),pouch, (2),prop, (5),purse, (6),red, (5),ruffle, (1),sash, (1),scarf, (3),scarflette, (1),scarlet, (1),school, (1),shawl, (1),shopper, (1),shopping, (1),swarovski, (2),tie, (3),to, (1),toddler, (5),tote, (1),valentine's, (3),warmers, (1),wedding, (10),wrap, (1),wrist, (1),wristlet, (2),
                    ",kerasoftwear
圍巾/絲巾 (5),"
                        ,blue, (1),design, (3),dots, (1),handmade, (3),scarf, (1),silk, (1),可愛, (3),
                    ",pinkmoo
"花器/花藝/植栽 (51),畫框/相框 (3)","
                        ,handmade, (54),客製化禮物, (53),復古, (3),情人節, (15),手作, (53),手工, (54),禮物, (51),
                    ",flowerdays
"裙子 (4),褲子/下身 (女) (1),洋裝 (2),外套/大衣 (女) (1),襯衫 (女) (1),上衣 (女) (3)","
                        ,vintage, (10),外套, (1),復古, (11),春天, (1),格子, (2),洋裝, (2),牛仔, (1),罩衫, (1),羊毛, (1),花, (3),裙, (3),褲, (1),褲裙, (1),襯衫, (2),變形蟲, (1),高腰, (2),
                    ",timelesscabinet
"肩背包/斜背包 (2),胸針 (4),貼紙 (1),獨立刊物 (2),家飾/擺飾 (2)","
                        ,zine, (4),可愛, (9),居家生活, (4),手作, (2),手工, (3),禮品, (5),設計, (11),雜貨, (3),雜貨　貓, (4),
                    ",meowmeowcat
"其他 (1),項鍊/墜子 (5),戒指 (3),耳環 (242),胸針 (6),領結 (27),其他 (15)","
                        ,handmade, (298),イヤリング, (12),キューブ, (10),トライアングル, (3),ピアス, (59),ピラミッド, (31),ブローチ, (7),ペンタゴン, (32),レジン, (77),付け襟, (9),布, (18),手作, (293),樹脂, (78),蝶ネクタイ, (10),
                    ",uponhandmade
"家飾/擺飾 (10),抱枕 (10),寢具 (10),其他 (7)","
                        ,交換禮物, (35),佈置, (1),墨鏡, (2),家飾, (8),寵物, (19),小狗, (17),小貓, (5),抱枕, (37),擺飾, (9),枕頭, (36),法鬥, (10),禮物, (34),米克斯, (9),臘腸犬, (4),設計, (32),設計選, (34),貓咪, (14),雷朋, (1),靠枕, (37),骷髏, (1),骷髏頭, (9),鬥牛犬, (10),
                    ",leons
"上衣 (女) (2),其他 (2),其他 (1),卡片/明信片 (48),貼紙 (1),名片座/文件夾 (1),筆 (1),其他 (3),廚具 (1),其他 (2)","
                        ,cat, (7),coaster, (1),design, (60),doughnut, (7),folder, (1),handtowel, (1),japan, (59),kids, (1),milk, (10),mirukun, (10),papercraft, (2),pen, (1),postcard, (48),roku, (43),ruler, (1),sticker, (1),totebag, (1),towel, (1),tシャツ, (2),さし, (1),てぬぐい, (1),にゃんこ, (1),キャラクター, (60),クラフト, (1),クリアファイル, (1),コースター, (1),ステッカー, (1),タオル, (1),トップス, (2),トートバッグ, (1),ドーナツ, (7),ハンドタオル, (1),ペーパークラフト, (1),ボールペン, (1),ポストカード, (48),メンズ, (1),レディース, (2),可愛, (62),吉祥物, (58),奈良, (59),奈良吉祥物, (1),子供, (2),定規, (1),小鹿, (43),尺度, (1),文件夾, (1),日式手巾, (1),日本, (59),明信片, (48),牛乳, (10),猫, (7),環保購物包, (1),紙模型, (1),設計, (2),路克, (43),雑貨, (60),馬歇爾包, (1),鹿, (44),
                    ",amanojackdesign
"肩背包/斜背包 (7),手提包 (3),晚宴包/手拿包 (1),電腦包 (2),公事包 (2),其他 (2),護照夾 (1),名片夾 (4),筆記本/手帳 (6),名片座/文件夾 (10),家飾/擺飾 (2),包裝材料 (1),iPhone 週邊 (1),平板/電腦保護套 (2)","
                        ,ipad, (2),事務, (12),包包, (9),卡夾, (4),手帳, (3),提案, (3),收納, (7),環保, (1),筆記本, (3),聖誕優惠, (2),萬用手冊, (3),配件, (14),
                    ",goodjob
"罩衫 (7),束口後背包 (3),圍巾/絲巾 (4),手套 (5),其他 (3),杯墊 (1),家飾/擺飾 (5),隨行杯提袋/護套 (3),蠟燭/燭台 (2),毛巾/浴巾 (10),圍裙 (6),刀/叉/匙/抹刀 (1),淺碟/盤子/餐盤 (1),碗 (10),廚具 (9),桌墊/餐桌裝飾 (4),調味罐 (1)","
                        ,handmade, (65),natural系列, (73),天然, (72),手工, (64),有機, (54),環保, (67),非基因改造, (2),香氛, (2),
                    ",lynnest
"其他 (1),其他 (1),耳環 (2),髮飾 (4),胸針 (20),卡片/明信片 (1),吊飾 (1),年曆 (1),童裝 (1),啟發玩具 (1),圍兜/領巾/配件 (4),清潔保養 (1),彌月收涎 (1),家飾/擺飾 (8),版畫 (1),畫作 (14),咖啡 (1),其他 (12)","
                        ,handmade, (5),
                    ",uka
"卡片/明信片 (27),貼紙 (1),其他 (1)","
                        ,hello, (1),加油, (12),吊卡, (1),心情, (11),愛情, (5),感謝卡, (1),明信片, (28),聖誕, (1),貼紙, (2),
                    ",flillustration
"咖啡杯/馬克杯 (6),陶器/陶飾 (1),茶具/茶杯 (4),淺碟/盤子/餐盤 (6)","
                        ,しろくま　かわいい　マグカップ, (1),クマ　かわいい　マグカップ　キノコ, (1),タコ　カップ　可愛い, (1),パンダ　かわいい　マグカップ　プレゼント, (2),可愛　犬　亀　飯碗, (1),可愛　犬　空　飯碗, (2),可愛い　不思議の国のアリス　皿　うさぎ, (1),犬　かわいい　マグカップ　ヤギ　羊, (1),犬　カップ　可愛い, (3),犬　可愛い　壺, (1),猫　かわいい　マグカップ, (1),猫　皿　可愛い, (1),赤ずきんちゃん　オオカミかわいい　皿, (1),
                    ",madpotter-madpotter
"項鍊/墜子 (7),耳環 (1),手鍊/手環 (2),圍巾/絲巾 (1),其他 (1)","
                        ,design, (12),handmade, (12),創意, (12),印花, (2),客製化禮物, (9),情人節, (10),手作, (12),手工, (11),手環, (2),手鍊, (2),條子, (1),珍珠, (4),禮品, (12),禮物, (12),耳環, (1),花, (3),設計, (12),限量款, (12),項鍊, (8),領子項鍊, (3),
                    ",cas
"襪子 (23),肩背包/斜背包 (11),帽子 (2)","
                        ,1, (1),bag, (12),provocateur, (36),pvct, (33),totebag, (4),丹寧, (3),刺繡, (2),劍玉, (1),動物, (2),可愛, (1),台灣製造, (24),家庭理髮, (1),富士山, (1),帽, (2),幾何, (7),復古, (5),心, (2),恐龍, (1),柴犬, (2),海洋, (4),涼感, (2),漸層, (2),煽動, (21),煽動者, (24),牛仔, (3),禮物, (14),箭頭, (1),羅盤, (1),聖誕, (2),聯名, (1),聲吶, (1),色票, (4),蕨類, (2),蛇, (2),蛋, (1),袋, (10),襪, (21),襪子, (21),設計, (22),購物袋, (10),足球, (5),運動, (5),魚, (1),鯨魚, (1),黑白, (2),
                    ",pvct
"胸針 (3),護照夾 (1),票夾/隨身夾 (11),其他 (11),杯墊 (2),廚具 (2),其他 (4),其他 (10)","
                        ,business, (25),card, (26),case, (1),christmas, (27),gift, (28),gifts, (27),ic-pass, (1),kitaca, (1),wooden, (27),八達通, (2),八達通卡, (2),刻字, (27),名片盒, (28),客製化, (28),悠遊卡, (25),情人節, (28),旅行, (28),木製名片盒, (27),木製品, (28),杯墊, (23),生日禮物, (28),畢業禮物, (27),禮物, (28),聖誕節, (28),鏡子, (27),
                    ",tree-house-zakka
"皮夾/錢包 (3),肩背包/斜背包 (1),零錢包 (2),鑰匙圈/鑰匙包 (1),名片夾 (1),其他 (6)","
                        ,handmade, (2),leather, (2),創意, (5),客製化禮物, (9),手作, (8),手工皮革, (10),皮革, (5),簡約, (13),設計, (9),
                    ",koikekaban
其他 (2),"
                        ,designe, (2),事事如意, (1),可愛, (2),吉利, (1),大吉大利, (1),如意, (1),年節, (2),柿子, (1),橘子, (1),水果, (2),禮物, (2),紅包袋, (2),美術紙, (2),設計, (2),
                    ",grass-design
"卡片/明信片 (29),咖啡杯/馬克杯 (6)","
                        ,design, (34),你好嗎, (1),創意, (33),動物, (13),可愛, (28),台灣, (25),快樂, (5),旅行, (17),日月潭, (17),星星, (1),有你真好, (1),泳渡, (1),流浪動物, (1),狗, (4),粉紅, (1),紅茶, (1),纜車, (2),耶誕, (10),腳踏車, (2),設計, (27),設計明信片聖誕, (13),謝謝, (2),貓, (3),貓頭鷹, (2),超人, (1),遊湖, (2),青蛙, (2),
                    ",design-art-annie
"肩背包/斜背包 (2),筆記本/手帳 (3),卡片/明信片 (37),貼紙 (29),紙膠帶 (13),印章 (1),其他 (1),咖啡杯/馬克杯 (3),陶器/陶飾 (1),碗 (6),iPhone 週邊 (7)","
                        ,design, (50),handmade, (9),mustache, (3),shockmama, (20),下午茶, (1),丸天, (2),交換禮物, (10),信封, (2),創意, (49),包, (1),包裝袋, (1),卡片, (11),卡片明信片, (4),印章, (3),吸水杯墊, (1),和紙膠帶, (7),少女, (1),帆布包, (1),帆布袋, (1),情人節, (5),手作, (19),手工, (20),手帳, (10),手機殼, (7),文青, (6),明信片, (12),橡皮章, (1),水杯, (1),派對, (7),滑板, (1),甜點, (1),生日, (3),福袋, (2),禮物, (49),筆記本, (3),紙膠帶, (12),美少女戰士, (1),翹鬍子, (1),聖誕節, (13),聞腋青年, (1),肩背包, (1),蛋定人生, (21),設計, (47),貼紙, (18),透明貼紙, (2),防水貼紙, (1),隨手杯, (1),馬可杯, (2),ｒｔ, (2),
                    ",shockartspace
"項鍊/墜子 (2),戒指 (1),耳環 (3),髮飾 (1),手鍊/手環 (1),胸針 (1),鑰匙圈/鑰匙包 (10),其他 (1),吊飾 (1),其他 (3)","
                        ,可愛, (17),復古, (22),手作, (24),手繪, (9),設計, (4),
                    ",kellys
"其他 (1),卡片/明信片 (1),香皂/精油/薰香 (27),毛巾/浴巾 (2),包裝材料 (1)","
                        ,中秋, (2),交換禮物, (3),代寫小卡, (1),備長炭, (1),卡片, (1),天然, (15),婚禮, (4),婚禮小物, (7),小卡, (1),手作, (23),手工, (14),手工皂, (27),提袋, (1),有機, (5),木柄, (1),桂花, (1),植物, (6),母親, (3),母親節, (7),沐浴乳, (3),洗臉刷, (4),洗面, (3),潔顏刷, (3),玫瑰, (6),皂, (8),皂絲, (1),皂袋, (2),禮物, (16),禮盒, (14),竹炭, (1),精油, (24),紅茶, (1),紙袋, (1),緞帶, (1),聖誕節, (3),芒果, (1),薄荷, (2),藍, (1),蜂蜜, (2),訂製, (5),起泡袋, (1),香氛, (12),香皂, (28),
                    ",fandol
紙張材料 (2),"
                        ,design, (2),handmade, (2),vintage, (2),客製化禮物, (2),情人節, (1),手作, (2),手工, (2),禮物, (1),設計, (2),
                    ",paper-renaissance
"項鍊/墜子 (7),耳環 (63),手鍊/手環 (9)","
                        ,chalcedony, (1),green, (2),k14gf, (31),turquoise, (6),アクアマリン, (1),イヤリング, (3),ガーネット, (1),クリスタル, (2),コーラル, (2),ジルコニア, (1),ターコイズ, (4),ネックレス, (1),ハウライト, (1),ハーキマーダイヤモンド, (1),パール, (23),ピアス, (21),ピンク, (3),フープ, (12),ラリマー, (1),赤珊瑚, (1),
                    ",holidayjewelry
"項鍊/墜子 (14),戒指 (3),耳環 (5),鑰匙圈/鑰匙包 (1)","
                        ,design, (16),handmade, (23),創意, (22),手作, (19),手工, (23),禮品, (23),禮物, (23),純銀, (19),設計, (23),限量款, (22),項鍊, (16),
                    ",deljewellery
"卡片/明信片 (9),吊飾 (8),花器/花藝/植栽 (1),其他 (1)","
                        ,christmas, (1),handmade, (4),merry, (1),x'mas, (1),客製化禮物, (1),情人節, (2),
                    ",seed
筆記本/手帳 (1),"
                        ,2016, (1),design, (1),diary, (1),handmade, (1),leather, (1),natural系列, (1),創意, (1),客製化禮物, (1),工商日誌, (1),手作, (1),手工, (1),手工皮革, (1),手帳, (1),抽取夾, (1),日誌, (1),活頁本, (1),牛皮, (1),皮革, (1),禮品, (1),禮物, (1),竹, (1),筆記本, (1),設計, (1),限量款, (1),
                    ",leatai-diary
腳踏車/週邊 (9),"
                        ,休閒, (9),腳踏車, (7),自行車, (9),親子, (8),運動, (9),
                    ",kplus-helmet
