0,1
11,4949
3256,3699
2508,3397
3463,4545
568,4882
11,4944
9,3589
12,3572
4875,4896
6,3589
3207,4523
0,5
7,3572
530,1915
12,3572
1178,1428
17,17
16,16
1543,4778
1128,4145
2923,4205
4620,4862
21,3922
49,71
69,86
69,1598
1057,4491
70,84
39,65
37,1598
36,84
46,71
1575,3653
1320,2920
43,3653
124,4487
30,44
47,4365
58,933
28,65
3502,4263
56,72
86,92
71,79
36,68
1027,1929
31,71
37,52
38,933
71,74
3408,3716
1861,1970
25,47
71,1575
38,933
869,3782
77,90
124,4487
38,933
3094,3457
69,86
806,3882
83,2657
317,2083
31,3653
28,39
1440,4699
83,933
44,76
83,4365
27,36
31,3653
41,77
974,4972
49,3653
992,3309
37,68
44,58
161,3014
43,3653
35,124
46,71
365,3918
69,4365
27,30
79,1575
42,69
23,46
69,1598
35,4487
1598,4365
58,933
24,42
1767,3716
262,2193
682,2641
4414,4661
914,4265
3394,4513
2490,4530
3284,3921
1281,3781
925,1461
973,1295
1989,2964
2426,3596
2310,4125
1324,3322
676,1950
611,4816
4271,4354
408,3977
2958,3030
1289,1564
509,2914
119,1711
874,4663
3655,3888
1415,3564
1711,2592
191,3423
386,2016
1069,2589
2532,4593
80,4487
3719,3933
221,4010
1275,1370
3908,3909
1203,4554
982,3748
1628,3787
1863,2664
1805,2602
4019,4521
2673,3565
3801,3890
1668,3528
773,2896
1309,3343
490,2051
3879,4323
1341,1855
630,822
172,518
4483,4538
1427,2095
206,3830
4367,4607
3217,3676
1082,1254
156,562
1829,1994
1417,3033
1781,2508
2909,4843
2844,4266
2386,3850
1124,2850
2424,4911
1699,2573
78,2967
4429,4724
692,1320
1744,4209
2477,3846
2907,3888
2556,3667
619,1058
1950,2637
4274,4295
217,4391
531,3652
325,3326
2272,2774
1346,4191
528,2916
494,2829
291,1254
471,1385
2597,4003
2241,2652
2130,2328
3419,3647
2918,4880
3107,4049
1366,4271
1185,1740
1213,4422
888,4904
2966,3514
1009,1437
1033,2021
1166,3761
1208,2446
974,1171
367,633
1124,4445
474,651
2738,4039
2849,4521
3961,4004
1211,2426
2854,3874
2119,2849
842,2254
147,715
761,2352
2140,4274
4367,4506
293,4247
953,2368
2342,2691
4071,4301
2954,4239
100,328
813,3899
2028,2814
3735,4039
497,2368
611,4192
490,590
1034,4601
2431,4019
310,4880
429,4014
1092,4972
4202,4328
851,2864
1428,4882
1902,3488
51,2343
1430,3517
429,3407
1767,4518
1455,2549
3542,3787
1176,3193
346,770
562,590
1595,4799
3112,4119
2839,3435
537,4358
520,4882
3379,3960
1430,2869
376,3196
1704,4235
1036,3576
3444,4414
2451,4298
997,3543
1699,4240
2224,2743
3502,4263
1467,4579
702,4501
2037,4288
2964,4001
812,4697
51,3094
94,3274
311,4356
1178,3923
2255,4076
3044,4552
805,4821
881,4783
555,2691
3758,3979
2008,4310
1581,4526
1629,1913
1275,2827
4559,4770
1275,4882
1254,3513
782,1433
1994,2834
382,936
365,3978
2428,4255
1220,1281
186,2827
1009,1437
497,1550
2145,3340
1307,3991
1275,4362
1415,3094
150,1254
98,1345
2653,3703
745,4167
271,2008
1203,3148
2379,2766
780,4174
378,4424
211,742
408,1490
4010,4556
882,3520
456,1208
1298,1975
2156,3029
1258,2786
787,902
2022,3365
953,3816
1581,4356
939,3497
708,1496
2199,2731
2046,2640
2869,3326
4463,4672
375,2318
2768,4043
1948,2513
2215,4104
1769,2769
2453,4218
1891,2427
1888,1925
2618,3554
100,4216
215,902
1052,3113
1687,2140
871,4429
2379,2836
1380,4468
2999,4013
1872,2280
1949,3038
1850,4551
1888,2860
1760,3277
2306,2839
2505,3166
1774,4245
840,4347
2976,3692
621,1015
238,540
408,3326
1727,2726
1224,3804
613,3315
663,4778
306,1108
1728,2634
2788,3441
329,2431
1864,2113
1213,4144
1172,4386
1641,1835
1168,1734
1040,2849
57,124
3478,4182
2852,3097
3551,3918
4019,4192
1517,2829
3454,4593
2394,3370
818,3368
1514,1694
2634,3045
1083,2293
521,1457
3038,4417
247,1467
697,2258
2499,4424
1923,2077
239,1845
1373,2347
452,3070
2473,2701
4867,4907
711,743
530,944
993,1711
471,4563
470,2021
775,2602
1973,2974
1639,4128
636,1977
2738,3373
1291,2795
1675,2928
1323,3893
2941,3714
2697,3371
393,2794
894,1325
2286,3504
1301,4430
658,3365
217,3263
320,2513
775,1581
888,3326
